Name,Term,ES,NES
TCGA-BH-A0H6-01A,OXPHOS,26347.854870281833,1.2050323666910925
TCGA-E9-A1RD-01A,OXPHOS,26347.8464882629,1.2050319833352496
TCGA-AN-A0XN-01A,EMT,26347.445194749715,1.2050136299750116
TCGA-BH-A0DZ-11A,OXPHOS,26347.332322090497,1.2050084676872905
TCGA-E2-A1B5-01A,OXPHOS,26347.27727799098,1.2050059502177721
TCGA-AR-A0TV-01A,OXPHOS,26344.42852665184,1.2048756611454654
TCGA-AC-A23G-01A,EMT,26343.953932224453,1.2048539553311262
TCGA-BH-A2L8-01A,OXPHOS,26343.03407755706,1.2048118853162304
TCGA-A2-A0EQ-01A,OXPHOS,26341.68021573129,1.204749965766115
TCGA-EW-A1PC-01B,OXPHOS,26341.42589572889,1.20473833431316
TCGA-B6-A0WW-01A,OXPHOS,26340.95901895924,1.204716981469771
TCGA-AR-A0TW-01A,OXPHOS,26340.903560732164,1.2047144450599205
TCGA-B6-A2IU-01A,OXPHOS,26339.744907473996,1.204661453471621
TCGA-AN-A0AK-01A,OXPHOS,26338.63164260763,1.2046105377442011
TCGA-A8-A09M-01A,OXPHOS,26338.34687494148,1.2045975137520626
TCGA-EW-A6SA-01A,OXPHOS,26338.269442411914,1.204593972336459
TCGA-EW-A1P4-01A,OXPHOS,26337.63402518519,1.2045649112106738
TCGA-A2-A04W-01A,OXPHOS,26337.163915365276,1.204543410502108
TCGA-E9-A22A-01A,OXPHOS,26337.09786002556,1.2045403894279925
TCGA-S3-A6ZH-01A,OXPHOS,26336.86119569389,1.2045295654659998
TCGA-E9-A295-01A,OXPHOS,26336.516277138835,1.204513790442767
TCGA-E9-A247-01A,OXPHOS,26335.4948296184,1.2044670740277472
TCGA-B6-A0RS-01A,OXPHOS,26334.000989078864,1.204398752480901
TCGA-E9-A1R6-01A,OXPHOS,26333.82578510636,1.2043907394392823
TCGA-EW-A1PG-01A,EMT,26333.761376447343,1.204387793676935
TCGA-C8-A12N-01A,OXPHOS,26333.01667488919,1.2043537343774011
TCGA-E2-A14Q-01A,OXPHOS,26332.15999680575,1.2043145537752813
TCGA-A8-A07S-01A,OXPHOS,26331.043290135945,1.204263480635254
TCGA-AN-A0AM-01A,OXPHOS,26330.828879984965,1.2042536744793846
TCGA-A7-A0CH-01A,OXPHOS,26329.943847817227,1.2042131970889884
TCGA-EW-A424-01A,OXPHOS,26329.488437321193,1.2041923686613782
TCGA-EW-A1OZ-01A,OXPHOS,26329.20292827926,1.2041793107620462
TCGA-B6-A0X0-01A,OXPHOS,26329.034646427466,1.2041716143070924
TCGA-A7-A3IY-01A,OXPHOS,26328.756489146122,1.2041588926442206
TCGA-Z7-A8R6-01A,OXPHOS,26328.683403752544,1.2041555500470633
TCGA-E9-A54X-01A,OXPHOS,26328.645012464774,1.2041537942022482
TCGA-AQ-A54O-01A,OXPHOS,26328.57711660424,1.2041506889509892
TCGA-B6-A0RU-01A,OXPHOS,26328.48037388178,1.2041462643740215
TCGA-AR-A2LE-01A,OXPHOS,26327.169094865058,1.2040862923700504
TCGA-BH-A0DH-01A,OXPHOS,26326.902278277284,1.2040740893794912
TCGA-WT-AB44-01A,OXPHOS,26326.08978944784,1.204036929795082
TCGA-AN-A046-01A,OXPHOS,26326.077116975644,1.2040363502132057
TCGA-BH-A0HF-01A,OXPHOS,26323.909158283757,1.2039371975343163
TCGA-LL-A8F5-01A,OXPHOS,26323.39014475009,1.2039134601898571
TCGA-C8-A12T-01A,OXPHOS,26323.341543345756,1.2039112373802363
TCGA-BH-A1FR-01A,OXPHOS,26321.97352637783,1.2038486704375897
TCGA-E9-A3X8-01A,OXPHOS,26321.281499488483,1.2038170202404717
TCGA-D8-A1XU-01A,OXPHOS,26321.043651138854,1.2038061421268234
TCGA-AO-A12E-01A,OXPHOS,26320.99831864343,1.2038040688223923
TCGA-EW-A1OX-01A,OXPHOS,26320.801342713654,1.2037950600293803
TCGA-E9-A1R5-01A,OXPHOS,26320.029198123357,1.2037597456089975
TCGA-E9-A1QZ-01A,OXPHOS,26319.741515189788,1.2037465882856404
TCGA-AC-A5XS-01A,OXPHOS,26317.463672385613,1.2036424100017238
TCGA-BH-A18L-01A,OXPHOS,26315.44337915431,1.203550010876789
TCGA-GM-A2DK-01A,OXPHOS,26314.47652231074,1.203505791193775
TCGA-E2-A14Z-01A,OXPHOS,26314.443048179277,1.2035042602375716
TCGA-A2-A4S3-01A,OXPHOS,26313.956064031107,1.203481987773134
TCGA-E2-A1LA-01A,OXPHOS,26313.59238707436,1.2034653548249847
TCGA-C8-A12Y-01A,OXPHOS,26313.311431466616,1.2034525051792506
TCGA-OL-A5D6-01A,OXPHOS,26312.469005182644,1.2034139763903327
TCGA-B6-A0RH-01A,OXPHOS,26310.398283243707,1.2033192708831435
TCGA-AN-A0FS-01A,OXPHOS,26310.23803700073,1.2033119419407923
TCGA-BH-A0DD-11A,OXPHOS,26309.235342391792,1.203266083199592
TCGA-EW-A1IZ-01A,OXPHOS,26307.998009619732,1.2032094931642345
TCGA-AR-A2LH-01A,OXPHOS,26307.27203278316,1.2031762902492404
TCGA-E2-A156-01A,OXPHOS,26306.427684985,1.2031376735789066
TCGA-C8-A275-01A,OXPHOS,26306.071427284896,1.2031213799541838
TCGA-AC-A2FM-11B,OXPHOS,26305.519298081672,1.2030961280479564
TCGA-BH-A0EE-01A,Epithelial,26304.750343870426,1.2030609595411608
TCGA-C8-A278-01A,OXPHOS,26303.83834322689,1.2030192487339881
TCGA-AO-A0JL-01A,OXPHOS,26302.801013880002,1.2029718059556644
TCGA-B6-A0RG-01A,OXPHOS,26302.656993400178,1.2029652191067346
TCGA-BH-A1ES-06A,OXPHOS,26302.392344496526,1.2029531152562967
TCGA-PL-A8LX-01A,OXPHOS,26302.18609084377,1.2029436821419675
TCGA-EW-A6SB-01A,OXPHOS,26300.809222104803,1.2028807103591295
TCGA-OL-A6VO-01A,OXPHOS,26300.77584870316,1.202879184009855
TCGA-GM-A2DM-01A,OXPHOS,26299.672854346805,1.2028287380093654
TCGA-C8-A135-01A,OXPHOS,26299.61799709782,1.2028262290855498
TCGA-B6-A0IB-01A,OXPHOS,26299.36021564092,1.2028144393212359
TCGA-BH-A18V-11A,OXPHOS,26299.214724382433,1.2028077852055057
TCGA-E2-A1IF-01A,OXPHOS,26299.193489502275,1.2028068140176038
TCGA-E9-A1RD-11A,OXPHOS,26298.96153141688,1.2027962052981467
TCGA-A1-A0SG-01A,OXPHOS,26298.179698037482,1.2027604477561313
TCGA-BH-A0RX-01A,OXPHOS,26298.05284723416,1.2027546461709742
TCGA-B6-A40B-01A,OXPHOS,26297.3338968935,1.2027217646162969
